transaction_id,customer_id,transaction_date,transaction_amount,debit_credit_indicator,transaction_type,channel,transaction_narrative,beneficiary_name,beneficiary_bank
TX030,CUST006,2024-01-17,15800,D,Wire,International_Wire,Holiday Package,Travel Agency,Emirates NBD
TX031,CUST007,2024-01-17,9800,D,Wire,NRISR,Supplier Payment,European Vendor,Deutsche Bank
TX032,CUST008,2024-01-18,5500,D,Wire,International_Wire,Family Support,Relative Abroad,Remitly
TX033,CUST009,2024-01-18,18500,D,Wire,International_Wire,Equipment Import,Japanese Supplier,Mizuho Bank
TX034,CUST010,2024-01-19,2800,D,Wire,International_Wire,Online Course Fee,Coursera Platform,Chase Bank
TX035,CUST011,2024-01-19,75000,D,Branch,Domestic,Fixed Deposit Renewal,Self,Barclays UK
TX036,CUST012,2024-01-20,8900,D,Wire,International_Wire,Charity Donation,International NGO,World Bank
TX037,CUST013,2024-01-20,6200,D,Wire,NRISR,Business Supplier Payment,Indian Supplier,HDFC Bank
TX038,CUST014,2024-01-21,450,D,Branch,Domestic,Utility Payment,Electric Company,Direct Debit
TX039,CUST015,2024-01-21,11200,D,Wire,International_Wire,Personal Loan Repayment,Personal Loan Ltd,Metro Bank
TX040,CUST016,2024-01-22,5900,D,Wire,International_Wire,Study Materials,Educational Publisher,Oxford Press
TX041,CUST017,2024-01-22,32000,D,Wire,International_Wire,Cryptocurrency Purchase,Coinbase Exchange,Coinbase
TX042,CUST018,2024-01-23,1600,D,ATM,ATM,Cash Withdrawal,Self,ATM Network
TX043,CUST019,2024-01-23,9500,D,Wire,NRISR,Investment Property Down Payment,Real Estate Developer,Emirates Bank
TX044,CUST020,2024-01-24,4100,D,Wire,International_Wire,Business Insurance Premium,Insurance Provider,Aviva
TX045,CUST001,2024-01-25,16,C,Online,Domestic,Tutoring Income,Private Student,Bank Transfer
TX046,CUST001,2024-01-25,21,C,Online,Domestic,Tutoring Income,Online Student,Venmo
TX047,CUST002,2024-01-26,28000,D,Wire,International_Wire,Investment Portfolio,Wealth Manager,Goldman Sachs
TX048,CUST003,2024-01-26,7200,D,Wire,NRISR,Vendor Payment,Singapore Supplier,DBS Bank
TX049,CUST004,2024-01-27,2800,D,Branch,Domestic,Healthcare Insurance,NHS Private,Bupa
TX050,CUST005,2024-01-27,18,C,Online,Domestic,Small Job Payment,Airtasker,Stripe
TX051,CUST006,2024-01-28,6800,D,Wire,International_Wire,Vacation Booking,Hotel Chain,Marriott Bank
TX052,CUST007,2024-01-28,11500,D,Wire,International_Wire,Import Goods Payment,Chinese Supplier,Bank of China
TX053,CUST008,2024-01-29,4200,D,Wire,NRISR,Family Gift Transfer,Family Member,ICICI Bank India
TX054,CUST009,2024-01-29,21000,D,Wire,International_Wire,Machinery Purchase,German Manufacturer,Deutsche Bank
TX055,CUST010,2024-01-30,3100,D,Wire,International_Wire,Research Software License,Microsoft Education,Microsoft
TX056,CUST011,2024-01-30,2400,D,Branch,Domestic,Medical Treatment,Private Doctor,Self Pay
TX057,CUST012,2024-01-31,10800,D,Wire,International_Wire,Stock Market Investment,Trading Platform,Interactive Brokers
TX058,CUST013,2024-01-31,5600,D,Wire,NRISR,Business Travel Expense,Travel Agency India,MakeMyTrip
TX059,CUST014,2024-02-01,520,D,ATM,ATM,Cash Withdrawal,Self,ATM Network
TX060,CUST015,2024-02-01,8900,D,Wire,International_Wire,Mortgage EMI Payment,Mortgage Lender,Nationwide
TX061,CUST016,2024-02-02,7200,D,Wire,International_Wire,Semester Fee Payment,Imperial College London,Barclays UK
TX062,CUST017,2024-02-02,28500,D,Wire,International_Wire,Bitcoin Purchase,Binance Exchange,Binance
TX063,CUST018,2024-02-03,3100,D,Branch,Domestic,Fixed Deposit Addition,Self,Barclays UK
TX064,CUST019,2024-02-03,12400,D,Wire,NRISR,Business Investment,Dubai Business,Emirates NBD
TX065,CUST020,2024-02-04,4800,D,Wire,International_Wire,Professional License Renewal,Regulatory Body,Government Bank
TX066,CUST002,2024-02-05,45000,D,Wire,International_Wire,Property Purchase Down Payment,Estate Agent,Savills Bank
TX067,CUST003,2024-02-06,950,D,ATM,ATM,Cash Withdrawal,Self,ATM Network
TX068,CUST007,2024-02-07,13200,D,Wire,International_Wire,Business Expansion Payment,Equipment Vendor,Citibank
TX069,CUST009,2024-02-08,19500,D,Wire,International_Wire,Raw Materials Purchase,European Supplier,BNP Paribas
TX070,CUST012,2024-02-09,11500,D,Wire,International_Wire,Portfolio Rebalancing,Investment Firm,Fidelity
TX071,CUST017,2024-02-10,38000,D,Wire,International_Wire,Ethereum Purchase,Kraken Exchange,Kraken
TX072,CUST002,2024-02-11,18000,D,Wire,International_Wire,Overseas Property Investment,Property Developer,HSBC Hong Kong
TX073,CUST006,2024-02-12,120000,C,Wire,Domestic,Annual Bonus,Employer Corporation,HSBC UK
TX074,CUST008,2024-02-13,95000,C,Wire,Domestic,Annual Salary,Tech Company,Barclays UK
TX075,CUST012,2024-02-14,135000,C,Wire,Domestic,Year End Bonus,Financial Services Firm,JP Morgan
TX076,CUST015,2024-02-15,105000,C,Wire,Domestic,Annual Compensation,Consulting Firm,KPMG Bank
TX077,CUST019,2024-02-16,145000,C,Wire,Domestic,Executive Bonus,Multinational Corp,Citibank UK
TX078,CUST001,2024-02-17,6100,D,Wire,International_Wire,Second Semester Tuition,University of Oxford,Barclays UK
TX079,CUST005,2024-02-18,2200,D,Wire,International_Wire,Course Registration Fee,Cambridge University,NatWest
TX080,CUST010,2024-02-19,3600,D,Wire,International_Wire,Lab Equipment Fee,Imperial College,HSBC UK
